objectid,parentid,filename,title,artist,medium_technique,date,classification,subject,nation of origin,description,size,source,object number,type,format,language,rights,rightsstatement
tmauu037,tmauu035,2002.001_label.pdf,museum label for The Pirate House of Harry Main,,,,,,,,,,,Text,application/pdf,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu038,,,On the Tow-Path – A Halt,"Robinson, Theodore",oil painting (technique),1893,Paintings,Horses; Boys; Hats,United States,,28 x 40 in. (71.1 x 101.6 cm),"Permanent Collection, Taubman Museum of Art",2002.003,Image;StillImage,compound_object,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu039,tmauu037,2002.003.jpg,On the Tow-Path – A Halt,,,,,,,,,,,Image;StillImage,image/jpeg,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu040,tmauu037,2002.003_label.pdf,museum label for On the Tow-Path – A Halt,,,,,,,,,,,Text,application/pdf,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu041,,2002.004.jpg,Voyage of the Polaris,"Bradford, William",oil painting (technique),1875,Paintings,United States North Polar Expedition (1871-1873); Tugboats; Ice; Dogs; Men; Landscapes,United States,,53 x 82 1/2 x 3 in. (134.6 x 209.6 x 7.6 cm),"Permanent Collection, Taubman Museum of Art",2002.004,Image;StillImage,image/jpeg,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu042,,,The Leeds Jug,"Carlsen, Emil",oil painting (technique),1920,Paintings,Onions; Pitchers,Denmark,,16 x 14 in. (40.6 x 35.6 cm),"Permanent Collection, Taubman Museum of Art",2003.002,Image;StillImage,compound_object,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu043,tmauu042,2003.002.jpg,The Leeds Jug,,,,,,,,,,,Image;StillImage,image/jpeg,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu044,tmauu042,2003.002_label.pdf,museum label for The Leeds Jug,,,,,,,,,,,Text,application/pdf,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu045,,,Swinging on the Gate,"Brown, John George",oil painting (technique),1878,Paintings,Girls; Wooden fences; Gates; Clouds,United States,,22 1/2 x 14 3/8 in. (57.2 x 36.5 cm),"Permanent Collection, Taubman Museum of Art",2003.003,Image;StillImage,compound_object,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu046,tmauu045,2003.003.jpg,Swinging on the Gate,,,,,,,,,,,Image;StillImage,image/jpeg,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu047,tmauu045,2003.003_label.pdf,museum label for Swinging on the Gate,,,,,,,,,,,Text,application/pdf,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu048,,,Daura with Cane and Brushes,"Daura, Pierre",oil painting (technique),1970,Paintings,"Daura, Pierre, 1896-1976; Older men; Staffs (Sticks, canes, etc.)",Spain,,25 3/16 x 18 1/8 in. (64 x 46 cm),"Permanent Collection, Taubman Museum of Art",2003.026,Image;StillImage,compound_object,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu049,tmauu048,2003.026.jpg,Daura with Cane and Brushes,,,,,,,,,,,Image;StillImage,image/jpeg,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu050,tmauu048,2003.026_label.pdf,museum label for Daura with Cane and Brushes,,,,,,,,,,,Text,application/pdf,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu051,,,The Cotton Picker,"Benton, Thomas Hart",tempera,1940,Paintings,Sharecroppers; Cotton; Trees; Hats,United States,,22 x 23 1/2 x 3 in. (55.9 x 59.7 x 7.6 cm),"Permanent Collection, Taubman Museum of Art",2004.001,Image;StillImage,compound_object,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu052,tmauu051,2004.001.jpg,The Cotton Picker,,,,,,,,,,,Image;StillImage,image/jpeg,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu053,tmauu051,2004.001_label.pdf,museum label for The Cotton Picker,,,,,,,,,,,Text,application/pdf,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
